Region,Year,Section,Indicator
Eastern Bering Sea,2024,Forage Fish,Age-0 Pollock Vertical Distribution
Eastern Bering Sea,2024,Forage Fish,Age-0 Pollock Weight
Eastern Bering Sea,2024,Forage Fish,Age-0 Pollock Energy Density
Eastern Bering Sea,2024,Forage Fish,Age-0 Pollock Lipid Content
Eastern Bering Sea,2024,Forage Fish,Pacific Herring Surface Trawl CPUE
Eastern Bering Sea,2024,Forage Fish,Togiak Herring Biomass
Eastern Bering Sea,2024,Forage Fish,Capelin Surface Trawl CPUE
Eastern Bering Sea,2024,Forage Fish,Pelagic Forage Fish Biomass
Eastern Bering Sea,2024,Forage Fish,Forage Fish DSEM Linkages
Eastern Bering Sea,2024,Salmon,Juvenile Sockeye Salmon Abundance
Eastern Bering Sea,2024,Salmon,Juvenile Chinook Salmon Abundance (NBS)
Eastern Bering Sea,2024,Salmon,Juvenile Chum Salmon Abundance (NBS)
Eastern Bering Sea,2024,Salmon,Juvenile Salmon Energy Density (SEBS)
Eastern Bering Sea,2024,Salmon,Juvenile Salmon Energy Density (NBS)
Eastern Bering Sea,2024,Salmon,Bristol Bay Sockeye Salmon Run Size
Eastern Bering Sea,2024,Salmon,Commercial Salmon Catch (Bering Sea)
Eastern Bering Sea,2024,Groundfish,Walleye Pollock Condition (length-weight)
Eastern Bering Sea,2024,Groundfish,Pacific Cod Condition (length-weight)
Eastern Bering Sea,2024,Groundfish,Arrowtooth Flounder Condition
Eastern Bering Sea,2024,Groundfish,Yellowfin Sole Condition
Eastern Bering Sea,2024,Groundfish,Flathead Sole Condition
Eastern Bering Sea,2024,Groundfish,Northern Rock Sole Condition
Eastern Bering Sea,2024,Groundfish,Alaska Plaice Condition
Eastern Bering Sea,2024,Groundfish,Walleye Pollock Diet Composition
Eastern Bering Sea,2024,Groundfish,Pacific Cod Diet Composition
Eastern Bering Sea,2024,Groundfish,Pacific Cod Snow Crab Consumption
Eastern Bering Sea,2024,Groundfish,Groundfish Thermal Experience
Eastern Bering Sea,2024,Groundfish,Groundfish Diet Energy Density
Eastern Bering Sea,2024,Groundfish,Groundfish Consumption Rate
Eastern Bering Sea,2024,Groundfish,Groundfish Scope for Growth
Eastern Bering Sea,2024,Groundfish,Age-1 Natural Mortality (CEATTLE)
Eastern Bering Sea,2024,Groundfish,Predation Mortality
Eastern Bering Sea,2024,Recruitment Predictions,Temperature Change Index
Eastern Bering Sea,2024,Recruitment Predictions,Surface Silicic Acid
Eastern Bering Sea,2024,Benthic Communities,Eelpout Biomass
Eastern Bering Sea,2024,Benthic Communities,Poacher Biomass
Eastern Bering Sea,2024,Benthic Communities,Sea Star Biomass
Eastern Bering Sea,2024,Benthic Communities,Bristol Bay Red King Crab Biomass
Eastern Bering Sea,2024,Benthic Communities,Pribilof Island Blue King Crab Biomass
Eastern Bering Sea,2024,Benthic Communities,St. Matthew Blue King Crab Biomass
Eastern Bering Sea,2024,Benthic Communities,Snow Crab Biomass
Eastern Bering Sea,2024,Benthic Communities,Tanner Crab Biomass
Eastern Bering Sea,2024,Seabirds,Common Murre Reproductive Success
Eastern Bering Sea,2024,Seabirds,Thick-billed Murre Reproductive Success
Eastern Bering Sea,2024,Seabirds,Black-legged Kittiwake Reproductive Success
Eastern Bering Sea,2024,Seabirds,Red-legged Kittiwake Reproductive Success
Eastern Bering Sea,2024,Seabirds,Least Auklet Reproductive Success
Eastern Bering Sea,2024,Seabirds,Red-faced Cormorant Reproductive Success
Eastern Bering Sea,2024,Seabirds,Multivariate Seabird Breeding Index
Eastern Bering Sea,2024,Seabirds,Beached Bird Abundance
Eastern Bering Sea,2024,Marine Mammals,Marine Mammal Stranding Events
Eastern Bering Sea,2024,Ecosystem Indicators,Mean Lifespan of Fish Community
Eastern Bering Sea,2024,Ecosystem Indicators,Mean Length of Fish Community
Eastern Bering Sea,2024,Ecosystem Indicators,Stability of Fish Biomass
Eastern Bering Sea,2024,Ecosystem Indicators,Borealization Index
Eastern Bering Sea,2024,Foraging Guilds,Motile Epifauna Biomass
Eastern Bering Sea,2024,Foraging Guilds,Benthic Forager Biomass
Eastern Bering Sea,2024,Foraging Guilds,Pelagic Forager Biomass
Eastern Bering Sea,2024,Foraging Guilds,Apex Predator Biomass
Eastern Bering Sea,2024,Emerging Stressors,Bottom Water pH
Eastern Bering Sea,2024,Emerging Stressors,Aragonite Saturation State
Eastern Bering Sea,2024,Emerging Stressors,Alexandrium Cell Concentration
Eastern Bering Sea,2024,Emerging Stressors,Paralytic Shellfish Toxin (Saxitoxin)
Eastern Bering Sea,2024,Emerging Stressors,Domoic Acid Concentration
Eastern Bering Sea,2024,Discards & Bycatch,Non-target Invertebrate Catch
Eastern Bering Sea,2024,Discards & Bycatch,Seabird Bycatch Estimates
Eastern Bering Sea,2024,Sustainability,Fish Stock Sustainability Index (FSSI)
Gulf of Alaska,2024,Physical Environment - Climate,State of the North Pacific Ocean
Gulf of Alaska,2024,Physical Environment - Climate,Wintertime Aleutian Low Index
Gulf of Alaska,2024,Physical Environment - Climate,Seasonal Projections (NMME)
Gulf of Alaska,2024,Physical Environment - Climate,Predicted Ocean Temperatures (Sitka Air Temperature)
Gulf of Alaska,2024,Physical Environment - Ocean Temperature,Long-term SST trends (1900-2024)
Gulf of Alaska,2024,Physical Environment - Ocean Temperature,Satellite-derived SST
Gulf of Alaska,2024,Physical Environment - Ocean Temperature,Survey-based temperatures (surface and depth)
Gulf of Alaska,2024,Physical Environment - Ocean Temperature,Marine Heatwave Status
Gulf of Alaska,2024,Physical Environment - Ocean Transport,Eddy Kinetic Energy
Gulf of Alaska,2024,Physical Environment - Ocean Transport,Papa Trajectory Index
Gulf of Alaska,2024,Physical Environment - Ocean Transport,Northern GOA Oscillation/Downwelling Index
Gulf of Alaska,2024,Physical Environment - Ocean Transport,Coastal Wind Patterns (April-May)
Gulf of Alaska,2024,Habitat,Ocean Acidification (pH levels)
Gulf of Alaska,2024,Habitat,Dissolved Oxygen
Gulf of Alaska,2024,Primary Production,Satellite Chlorophyll-a
Gulf of Alaska,2024,Primary Production,Seward Line Phytoplankton Size Index
Gulf of Alaska,2024,Primary Production,GAK1 Mooring Oceanography
Gulf of Alaska,2024,Zooplankton,Continuous Plankton Recorder
Gulf of Alaska,2024,Zooplankton,Copepod Biomass and Community Size
Gulf of Alaska,2024,Zooplankton,Euphausiid Biomass (Seward Line)
Gulf of Alaska,2024,Zooplankton,Zooplankton Density (Icy Strait)
Gulf of Alaska,2024,Zooplankton,Zooplankton Lipid Content
Gulf of Alaska,2024,Forage Fish,Larval Fish Abundance
Gulf of Alaska,2024,Forage Fish,Age-0 Pollock Body Condition
Gulf of Alaska,2024,Forage Fish,Seabird Diet Composition
Gulf of Alaska,2024,Forage Fish,Capelin Abundance Indices
Gulf of Alaska,2024,Forage Fish,Herring Biomass (SE Alaska)
Gulf of Alaska,2024,Forage Fish,Eulachon Returns
Gulf of Alaska,2024,Salmon,Commercial Salmon Catch
Gulf of Alaska,2024,Salmon,Juvenile Salmon Abundance/Condition (Icy Strait)
Gulf of Alaska,2024,Salmon,Auke Creek Salmon Survival
Gulf of Alaska,2024,Groundfish,Groundfish Body Condition
Gulf of Alaska,2024,Groundfish,ADF&G Trawl Survey
Gulf of Alaska,2024,Groundfish,Predation Mortality (CEATTLE model)
Gulf of Alaska,2024,Groundfish,Survey Biomass Trends
Gulf of Alaska,2024,Groundfish,Environmental Conditions Experienced by Groundfish
Gulf of Alaska,2024,Groundfish,Groundfish Diets
Gulf of Alaska,2024,Benthic Communities,Motile Epifauna Biomass
Gulf of Alaska,2024,Benthic Communities,Structural Epifauna
Gulf of Alaska,2024,Seabirds,Seabird Breeding Timing
Gulf of Alaska,2024,Seabirds,Seabird Reproductive Success
Gulf of Alaska,2024,Seabirds,Seabird Mortality Events
Gulf of Alaska,2024,Seabirds,Seabird At-sea Distribution (Seward Line)
Gulf of Alaska,2024,Marine Mammals,Humpback Whale Calving (Glacier Bay/Icy Strait)
Gulf of Alaska,2024,Marine Mammals,Marine Mammal Strandings
Gulf of Alaska,2024,Marine Mammals,Steller Sea Lion Population Trends
Gulf of Alaska,2024,Prince William Sound,Intertidal Temperature
Gulf of Alaska,2024,Prince William Sound,"Intertidal Communities (mussels, rockweed, sea stars)"
Gulf of Alaska,2024,Prince William Sound,Prince William Sound Herring Biomass
Gulf of Alaska,2024,Prince William Sound,Humpback Whale Fall Surveys (PWS)
Gulf of Alaska,2024,Fishing Indicators,Groundfish Discards
Gulf of Alaska,2024,Fishing Indicators,Non-target Species Catch
Gulf of Alaska,2024,Fishing Indicators,Seabird Bycatch
Gulf of Alaska,2024,Habitat Quality,Fishing Effects on Essential Fish Habitat
Gulf of Alaska,2024,Sustainability,Fish Stock Sustainability Index (FSSI)
Gulf of Alaska,2024,Sustainability,Surplus Production/Exploitation Rate
Gulf of Alaska,2024,Disease & Toxins,Harmful Algal Blooms (PSP toxins)
Gulf of Alaska,2024,Disease & Toxins,Mushy Halibut Syndrome Occurrence
Gulf of Alaska,2024,Ecosystem Community Indicators,Foraging Guild Biomass
Gulf of Alaska,2024,Ecosystem Community Indicators,Community Stability
Gulf of Alaska,2024,Ecosystem Community Indicators,Mean Length/Lifespan of Fish Community
Gulf of Alaska,2024,Ecosystem Community Indicators,Species Richness/Diversity
Gulf of Alaska,2024,Citizen Science,Skipper Science Observations
Gulf,2017,Climate Drivers,Atlantic Multidecadal Oscillation (AMO)
Gulf,2017,Climate Drivers,Sea Surface Temperature (SST)
Gulf,2017,Climate Drivers,Sea Level Rise
Gulf,2017,Physical and Chemical Pressures,Eutrophication (Nutrient Loading)
Gulf,2017,Physical and Chemical Pressures,Hypoxia (Bottom Dissolved Oxygen)
Gulf,2017,Physical and Chemical Pressures,Ocean Acidification (pH)
Gulf,2017,Habitat State,Areal Extent of Estuarine Habitats (Seagrass)
Gulf,2017,Habitat State,Artificial Structures (Reefs and Platforms)
Gulf,2017,Habitat State,Wetland Land Use and Land Cover
Gulf,2017,Lower Trophic States,Net Primary Productivity (NPP)
Gulf,2017,Lower Trophic States,Zooplankton Biomass
Gulf,2017,Lower Trophic States,Forage Fish Abundance (Menhaden)
Gulf,2017,Upper Trophic States,Upper Trophic Level Biodiversity (Species Richness)
Gulf,2017,Upper Trophic States,Mean Trophic Level
Gulf,2017,Upper Trophic States,Overfishing Status
Gulf,2017,Ecosystem Services,Abundance of Economically Important Species
Gulf,2017,Ecosystem Services,Bird Abundance (5 waterbird species)
Gulf,2017,Human Dimensions,Human Population
Gulf,2017,Human Dimensions,Population Density
Gulf,2017,Human Dimensions,Coastal Urban Land Use
Gulf,2017,Human Dimensions,Total Ocean Economy (Employment)
Gulf,2017,Human Dimensions,Total Ocean Economy (GDP)
Gulf,2017,Human Dimensions,Commercial Landings
Gulf,2017,Human Dimensions,Commercial Revenues
Gulf,2017,Human Dimensions,Social Connectedness
Gulf,2017,Human Dimensions,Commercial Fishing Engagement
Gulf,2017,Human Dimensions,Commercial Fishing Reliance
Gulf,2017,Human Dimensions,Recreational Fishing Engagement
Gulf,2017,Human Dimensions,Recreational Fishing Effort
Hawaii,2022,Human Connections,Population density and growth
Hawaii,2022,Human Connections,Resource use participation rates
Hawaii,2022,Human Connections,Awareness of threats
Hawaii,2022,Human Connections,Perceptions of ecosystem status and trends
Hawaii,2022,Small Boat Commercial Fishers,Fishing Engagement Index (FEI)
Hawaii,2022,Small Boat Commercial Fishers,Regional Quotient for revenue
Hawaii,2022,Small Boat Commercial Fishers,Total catch by fishery
Hawaii,2022,Small Boat Commercial Fishers,Catch per trip
Hawaii,2022,Small Boat Commercial Fishers,Spatial distribution of catch
Hawaii,2022,Coral Reefs and Reef Fish,Hard coral cover (%)
Hawaii,2022,Coral Reefs and Reef Fish,Calcifiers cover (%)
Hawaii,2022,Coral Reefs and Reef Fish,Reef-builder ratio
Hawaii,2022,Coral Reefs and Reef Fish,Total fish biomass (kg/ha)
Hawaii,2022,Coral Reefs and Reef Fish,Herbivore biomass (kg/ha)
Hawaii,2022,Coral Reefs and Reef Fish,Resource fish biomass (kg/ha)
Hawaii,2022,Climate and Ocean,El Niño-Southern Oscillation (ENSO) index
Hawaii,2022,Climate and Ocean,Pacific Decadal Oscillation (PDO) index
Hawaii,2022,Climate and Ocean,Annual rainfall and peak events (mm)
Hawaii,2022,Climate and Ocean,Brown water advisories (count/year)
Hawaii,2022,Climate and Ocean,Sea level rise (m)
Hawaii,2022,Climate and Ocean,Sea surface temperature (°C)
Hawaii,2022,Human Impacts,Cumulative impact scores
Hawaii,2022,Human Impacts,Individual stressor intensities
Hawaii,2022,Vulnerability of Coral Reefs to Climate Change,Projected timing of annual severe bleaching (year)
Hawaii,2022,Vulnerability of Coral Reefs to Climate Change,Climate vulnerability scores
Hawaii,2022,Vulnerability of Coral Reefs to Climate Change,Reef resilience assessments
Mid-Atlantic,2025,Seafood Production,Total commercial landings
Mid-Atlantic,2025,Seafood Production,Total U.S. seafood landings
Mid-Atlantic,2025,Seafood Production,MAFMC managed U.S. seafood landings
Mid-Atlantic,2025,Seafood Production,Landings by feeding guild
Mid-Atlantic,2025,Seafood Production,Total Community Climate Vulnerability of landings
Mid-Atlantic,2025,Seafood Production,Recreational harvest
Mid-Atlantic,2025,Seafood Production,Recreational shark landings
Mid-Atlantic,2025,Seafood Production,"Stock status (F/Fmsy, B/Bmsy)"
Mid-Atlantic,2025,Seafood Production,Survey biomass by feeding guild
Mid-Atlantic,2025,Commercial Profits,Total revenue
Mid-Atlantic,2025,Commercial Profits,MAFMC managed species revenue
Mid-Atlantic,2025,Commercial Profits,Bennet Indicator (price vs volume)
Mid-Atlantic,2025,Commercial Profits,Revenue by feeding guild
Mid-Atlantic,2025,Commercial Profits,Total Community Climate Vulnerability of revenue
Mid-Atlantic,2025,Recreational Opportunities,Angler trips (recreational effort)
Mid-Atlantic,2025,Recreational Opportunities,Recreational fleet diversity
Mid-Atlantic,2025,Stability,Commercial fleet count
Mid-Atlantic,2025,Stability,Commercial fleet revenue diversity
Mid-Atlantic,2025,Stability,Commercial species revenue diversity
Mid-Atlantic,2025,Stability,Recreational species catch diversity
Mid-Atlantic,2025,Stability,Total annual primary production
Mid-Atlantic,2025,Stability,Zooplankton diversity (Shannon Index)
Mid-Atlantic,2025,Stability,Adult fish diversity (expected number of species)
Mid-Atlantic,2025,Stability,Fish community functional traits
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Commercial fishing engagement
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Commercial fishing per capita engagement
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Social vulnerability indices
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Recreational fishing engagement
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Recreational per capita engagement
Mid-Atlantic,2025,Community Social and Climate Vulnerability,Community total climate vulnerability of revenue
Mid-Atlantic,2025,Protected Species,Harbor porpoise bycatch
Mid-Atlantic,2025,Protected Species,Gray seal bycatch
Mid-Atlantic,2025,Protected Species,North Atlantic Right Whale abundance
Mid-Atlantic,2025,Protected Species,North Atlantic Right Whale calf counts
Mid-Atlantic,2025,Protected Species,Gray seal pup births
Mid-Atlantic,2025,Protected Species,Unusual Mortality Events
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Fish distribution shifts (center of gravity)
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Marine mammal distribution shifts
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Forage fish distribution shifts
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Small copepod distribution
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Large copepod distribution
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Macrobenthos distribution
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Sea surface temperature
Mid-Atlantic,2025,Climate Risks - Managing Spatially,Gulf Stream position
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,"Spawning timing shifts (haddock, yellowtail flounder)"
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,HMS and whale migration timing changes
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,Ocean summer length
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,Cold Pool temperature and extent
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,Cold Pool persistence
Mid-Atlantic,2025,Climate Risks - Managing Seasonally,Phytoplankton bloom timing
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Fish productivity (small per large fish)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Fish productivity (recruitment per SSB)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Fish condition
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Forage fish energy density
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Forage fish biomass index
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Macrobenthos biomass
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Megabenthos biomass
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Primary production
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Zooplankton biomass (large copepods)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Zooplankton biomass (small copepods)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Zooplankton biomass (Euphausiids)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Temperature extremes
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Marine heatwaves
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,Ocean acidification (aragonite saturation)
Mid-Atlantic,2025,Climate Risks - Setting Catch Limits,"Predator populations (sharks, seals)"
Mid-Atlantic,2025,Offshore Wind Risks,Development timeline and lease areas
Mid-Atlantic,2025,Offshore Wind Risks,MAFMC fishery revenue from lease areas
Mid-Atlantic,2025,Offshore Wind Risks,MAFMC fishery landings from lease areas
Mid-Atlantic,2025,Offshore Wind Risks,Port-level revenue from lease areas
Mid-Atlantic,2025,Offshore Wind Risks,Community social vulnerability in wind areas
Mid-Atlantic,2025,Offshore Wind Risks,Right whale habitat overlap
Mid-Atlantic,2025,Offshore Wind Risks,Survey area overlap
Mid-Atlantic,2025,2024 Highlights,Labrador Slope Water influx
Mid-Atlantic,2025,2024 Highlights,Gulf Stream position anomaly
Mid-Atlantic,2025,2024 Highlights,Species migration delays
Mid-Atlantic,2025,2024 Highlights,Species redistribution
Mid-Atlantic,2025,2024 Highlights,Chesapeake Bay conditions
Mid-Atlantic,2025,2024 Highlights,Upwelling events New Jersey coast
Mid-Atlantic,2025,2024 Highlights,Coccolithophore bloom south of Long Island
Mid-Atlantic,2025,2024 Highlights,Whale aggregations Hudson Canyon
Mid-Atlantic,2025,2024 Highlights,Ocean acidification extremes Mid-Atlantic
Mid-Atlantic,2025,2024 Highlights,Scallop recruitment variability
New England,2025,Seafood Production,Total commercial landings
New England,2025,Seafood Production,Total U.S. seafood landings
New England,2025,Seafood Production,NEFMC managed seafood landings
New England,2025,Seafood Production,Landings by feeding guild
New England,2025,Seafood Production,Total Community Climate Vulnerability of landings
New England,2025,Seafood Production,Recreational harvest
New England,2025,Seafood Production,Recreational shark landings
